ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet NLP,Mentions Aquinos / Liberal Party,Mentions Aquinos / Liberal Party Negatively,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Retweets + Quote Tweets,Views,Rating,Reasoning,Remarks
57-48,3/31/23 18:15:00,https://twitter.com/TommyFl99321967/status/932142148794966017,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos all 986 cases,TommyFl99321967,Tommy Flores,,Identified,03/17,62,7,,"@patti_parada @aikarobredo 986 cases filled against Marcos at international court in New York and all were acquitted, after 30 years no Marcos got in jailed! 2 aquino became a president even 1 case walang naipanalo na kaso, then ngayun sasabihin mo magnanakaw ang mga Marcos? Yang utak mo nasa talampakan.","986 cases filled against Marcos at international court in New York and all were acquitted, after 30 years no Marcos got in jailed! two Aquinos became president, not even 1 case was won in all the charges, then now you say that the Marcoses are thieves? Get your brain out of your feet.",986 cases filled against Marcos at international court in New York and all were acquitted after 30 years no Marcos got in jailed two Aquinos became president not even 1 case was won in all the charges then now you say that the Marcoses are thieves Get your brain out of your feet,1,0,"Text, Reply",19/11/17 07:03,,emotional,5,0,0,0,0,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-49,3/31/23 18:15:00,https://twitter.com/Du30USA/status/731104795193286656,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos all 986 cases,Du30USA,Du30USA,,Anonymous,05/16,22,70,,Marcos Family: Acquitted fr. all 986 cases filed by the US & Phil. govt. https://t.co/lKFeNpnjPJ #NotGuilty #DaangMatuwid #BBM4VP,Marcos Family: Acquitted for all 986 cases filed by the US & Philippine government,Marcos Family: Acquitted for all 986 cases filed by the US & Philippine government,0,0,"Text, URL",13/05/16 20:52,,rational,1,0,0,0,0,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-50,3/31/23 18:16:00,https://twitter.com/PilapilRheza/status/1439182889074135045,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos all 996 cases,PilapilRheza,aries_0465,,Identified,08/21,7,10,"Caloocan City, National Capita","PCGG Nasaan na ang mga sequestered assets, Jewelries, etc...Marcos cleared all the cases 996 cases here & abroad The Trials of the Century not guilty si Andress Bautista chairman ng PCGG grabe ang nakulimbat ng pera sa PCGG ayon sa Asawa niya https://t.co/Y8HNOIhPsT","PCGG Where are the sequestered assets, Jewelries, etc...Marcos cleared all the cases 996 cases here & abroad The Trials of the Century not guilty si Andress Bautista chairman ng PCGG the amount of pilfered assets by PCGG is astonishing according to his wife",PCGG Where are the sequestered assets Jewelries etc Marcos cleared all the cases 996 cases here & abroad The Trials of the Century not guilty Andres BBautista chairman of the PCGG the amount of pilfered assets by PCGG is astonishing according to his wife,0,0,"Text, Image",18/09/21 11:01,,emotional,0,0,0,0,0,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-51,3/31/23 18:16:00,https://twitter.com/Grayhams3/status/1474735060511244288,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos all 1000 cases,Grayhams3,Grayhams,,Anonymous,09/21,4,1,,"@indiohistorian @nuelleduterte We don't know what really hapen in former president of southkor why she's convicted.the diference is Ferdinand Marcos is NOT GUILTY, ALMOST 1000 cases file in court ALL CHARGES was trash by court.STOP COMPARING MARCOS on other politicians that was convicted becos his NOT GUILTY","We don't know what really happened in former president of south korea why she's convicted.the diference is Ferdinand Marcos is NOT GUILTY, ALMOST 1000 cases file in court ALL CHARGES was trash by court.STOP COMPARING MARCOS on other politicians that was convicted because his NOT GUILTY",We don't know what really happened in former president of south korea why she's convicted the difference is Ferdinand Marcos is NOT GUILTY ALMOST 1000 cases file in court ALL CHARGES was trash by court STOP COMPARING MARCOS on other politicians that was convicted because his NOT GUILTY,0,0,"Text, Reply",25/12/21 13:33,,emotional,0,0,0,0,0,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-52,3/31/23 18:20:00,https://twitter.com/DevinJWinters/status/1404140640162648066,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos all 900 charges,DevinJWinters,Devin Winters,I am what I am,Identified,01/21,84,160,,"@CostanCorazon @atomaraullo @VICEWorldNews There were. And guess what, they're acquitted from all of them. Why? The evidences presented against them are media write-ups and newspapers! The opposition couldn't even present a viable evidence of corruption! Mrs. Marcos was even praised for winning some 600 or 900 charges!","There were. And guess what, they're acquitted from all of them. Why? The evidences presented against them are media write-ups and newspapers! The opposition couldn't even present a viable evidence of corruption! Mrs. Marcos was even praised for winning some 600 or 900 charges!",There were And guess what they're acquitted from all of them Why The evidences presented against them are media write-ups and newspapers The opposition couldn't even present a viable evidence of corruption Mrs Marcos was even praised for winning some 600 or 900 charges,0,0,"Text, Reply",13/06/21 18:16,,emotional,2,0,1,0,1,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-53,3/31/23 18:38:00,https://twitter.com/TitleistGolfer5/status/1582352973320966144,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos not guilty all,TitleistGolfer5,Happy Brit_🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧,"Titleist Golfer Lover of Truth and Justice. Support His Majesty the King, the police, the NHS and anyone who helps our Great Beloved Country",Anonymous,03/14,154,22,"England, United Kingdom",Did MARCOS stole money from Philippine govt? Sue or indict them to prove it. I don’t think so. Imelda Marcos had already faced the New York court in the past and has proven not guilty on all cases filed against them. https://t.co/LrNdZiocIK,Did MARCOS stole money from Philippine government? Sue or indict them to prove it. I don’t think so. Imelda Marcos had already faced the New York court in the past and has proven not guilty on all cases filed against them.,Did MARCOS stole money from Philippine government Sue or indict them to prove it I don’t think so Imelda Marcos had already faced the New York court in the past and has proven not guilty on all cases filed against them,0,0,"Text, Image",18/10/22 12:48,,emotional,0,0,0,0,0,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-54,3/31/23 18:38:00,https://twitter.com/1H3LLuVahB/status/1502133001169162247,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos not guilty all,1H3LLuVahB,♀1mUrH3LL♀,Legit bardagulera. I fight for what I know is right. I'm trilingual. I speak bitch too! Got it?! ♥️✌️💚👊,Identified,07/11,397,182,Philippines,"@BbPilipinas1986 350 cases, more than 1k documents ALL ARE NOT GUILTY. Ano pa? All are from SUPREME COURTS. There was even a documentation by Ms. Mel Tiangco and Tina Monsood regarding the Marcos wealth and that so-called cases. Hndi nyo pinanonood yun?","350 cases, more than 1000 documents ALL ARE NOT GUILTY. What else? All are from SUPREME COURTS. There was even a documentation by Ms. Mel Tiangco and Tina Monsood regarding the Marcos wealth and that so-called cases. You haven't watched that video/documentary yet?",350 cases more than 1000 documents ALL ARE NOT GUILTY What else All are from SUPREME COURTS There was even a documentation by Ms Mel Tiangco and Tina Monsood regarding the Marcos wealth and that so-called cases You haven't watched that video/documentary yet,0,0,"Text, Reply",11/03/22 04:03,,emotional,0,0,0,0,0,,,the sc and the sandiganbayan found the marcos guilty of at least 1 case where either of them is the plaintiff https://verafiles.org/articles/vera-files-fact-check-court-rulings-against-marcoses-belie-c sc specific: https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea,
57-55,3/31/23 18:38:00,https://twitter.com/congressmanFAM/status/1479639256197136386,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos not guilty all,congressmanFAM,my inspiration is sandro marcos,ig: sandromarcos772,Troll,12/21,5,32,Manila x London,"@theredcock LOL, IF MARCOS IS A THIEF, THEY SHOULD BE IN PRISON FOR A LONG TIME, AND YOU HAVE NO REAL PROOF AND ALL OF THAT IS INVALID BECAUSE THEY ARE NOT GUILTY!! 2016 PA YAN OH TANGA KA NA LANG KAPAG NANIWALA KA SA MGA FAKE NEWS 😂😂😂","LOL, IF MARCOS IS A THIEF, THEY SHOULD BE IN PRISON FOR A LONG TIME, AND YOU HAVE NO REAL PROOF AND ALL OF THAT IS INVALID BECAUSE THEY ARE NOT GUILTY!! YOUR SOURCE IS FROM 2016, IT IS OUTDATED AND YOU ARE STUPID FOR BELIEVING FAKE NEWS haha",LOL IF MARCOS IS A THIEF THEY SHOULD BE IN PRISON FOR A LONG TIME AND YOU HAVE NO REAL PROOF AND ALL OF THAT IS INVALID BECAUSE THEY ARE NOT GUILTY YOUR SOURCE IS FROM 2016 IT IS OUTDATED AND YOU ARE STUPID FOR BELIEVING FAKE NEWS haha,0,0,"Text, Reply",08/01/22 02:21,,emotional,0,1,0,0,0,,,not completely innnocent - guilty of theft - did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-56,3/31/23 18:38:00,https://twitter.com/marita_tiongco/status/1471977099376611332,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos not guilty all,marita_tiongco,Marita Tiongco,Am a Bible hard believer. I could only live by truth.,Identified,07/21,70,154,,"@Deactivate2585 @gmanews Kc nag-researched ako, I have learned everything of lies set by the foreign oligarchs headed by George Shultz, All Marcos cases were proven “NOT GUILTY” by LA & NY & PHL Supreme Court! Evidences speak not hearsay","It's because I do my research, I have learned everything of lies set by the foreign oligarchs headed by George Shultz, All Marcos cases were proven “NOT GUILTY” by LA & NY & PHL Supreme Court! Evidences speak not hearsay",It's because I do my research I have learned everything of lies set by the foreign oligarchs headed by George Shultz All Marcos cases were proven “NOT GUILTY” by LA & NY & PH Supreme Court Evidences speak not hearsay,0,0,"Text, Reply",17/12/21 22:54,,emotional,0,0,0,0,0,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-57,3/31/23 18:38:00,https://twitter.com/t_dhines/status/1458706507374100481,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos not guilty all,t_dhines,dhinesT,"#SolidBBMNoMatterWhat!!!
I dl Twitter only bcoz of BBM♥️😍
#BBMISMYPRESIDENT
#BringBackMarcos
#SaraForVicePresident
♥️💚",Troll,10/21,2636,3076,ILOILO/ Hong Kong,"https://t.co/LbzOkvhRko
 Marcos Wealth Explained and thousands of cases filed against FEM and Mrs. Marcos all NOT GUILTY! by Ms. Rita Gadi. 
 MARCOS 2022
 #MaSa2022 
 #BBMSARA2022",Marcos Wealth Explained and thousands of cases filed against FEM and Mrs. Marcos all NOT GUILTY! by Ms. Rita Gadi. MARCOS 2022,Marcos Wealth Explained and thousands of cases filed against FEM and Mrs Marcos all NOT GUILTY by Ms Rita Gadi MARCOS 2022,0,0,"Text, URL",11/11/21 08:01,,rational,1,0,0,0,0,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-58,3/31/23 18:38:00,https://twitter.com/elignacio06/status/1446305528389406725,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos not guilty all,elignacio06,LaLa,Genuine faith is life❤ BTS 아미.,Identified,07/17,26,46,Philippines,@tienzaaaa @immahsantos But the truth s may nakulong ba sa mga Marcos if that s true? They r not guilty until now. A lot of cases filed against them. So it means it's all propaganda of communist party.,But the truth is was anyone in the Marcos family incarcerated if that's true? They are not guilty until now. A lot of cases filed against them. So it means it's all propaganda of communist party.,But the truth is was anyone in the Marcos family incarcerated if that's true They are not guilty until now A lot of cases filed against them So it means it's all propaganda of communist party,0,0,"Text, Reply",08/10/21 02:44,,emotional,0,0,0,0,0,,,the sc and the sandiganbayan found the marcos guilty of at least 1 case where either of them is the plaintiff https://verafiles.org/articles/vera-files-fact-check-court-rulings-against-marcoses-belie-c sc specific: https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea,
57-59,3/31/23 18:38:00,https://twitter.com/altiche_s/status/1446130138844786723,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos not guilty all,altiche_s,Robinhood,"Love is not about gender, its about accepting your wholebeing.",Identified,03/21,123,3,,"@Phapppi Lahat ng cases nila napanalo nila, they are not guilty about all the accusations and allegations na mga pinag sasabi nyo. Last will and testent ni Former pres. Marcos ibibigay na if si marvos manalo. Please be wise. Buksan nyo isip at puso nyo nakasalalay ang pag recover ng bansa","They won all of their cases, they are not guilty about all the accusations and allegations that you are rattling on about. Last will and testament of Former pres. Marcos will be given if Marcos wins. Please be wise. Open your mind and heart, the recovery of the country lies on your shoulders.",They won all of their cases they are not guilty about all the accusations and allegations that you are rattling on about Last will and testament of Former pres Marcos will be given if Marcos wins Please be wise Open your mind and heart the recovery of the country lies on your shoulders,0,0,"Text, Reply",07/10/21 15:07,,emotional,0,2,0,0,0,,,did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-60,3/31/23 18:38:00,https://twitter.com/IndiannoGibbs/status/1439555362089103366,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos not guilty all,IndiannoGibbs,emPAThy,"♦Computer Science🧑‍🎓
♦Master of Science in Information  Technology. 👨‍🏫🖨🖥💻
♦Professor 📒📃
♦Frontend-Developer ⌨🖱🖥💻
♦Graphics Designer 🖌🖍",Identified,06/17,24,3,,@atomaraullo Marcos was already rich even before he came into politics. All of his alleged corruption was proven NOT GUILTY by the court who handled the case and it was an INTERNATIONAL COURT FYI.. what you believe as FACTS is actually the REVISIONISM that you are talking about..,Marcos was already rich even before he came into politics. All of his alleged corruption was proven NOT GUILTY by the court who handled the case and it was an INTERNATIONAL COURT For Your Information. what you believe as FACTS is actually the REVISIONISM that you are talking about..,Marcos was already rich even before he came into politics All of his alleged corruption was proven NOT GUILTY by the court who handled the case and it was an INTERNATIONAL COURT For Your Information what you believe as FACTS is actually the REVISIONISM that you are talking about,0,0,"Text, Reply",19/09/21 11:41,,emotional,1,3,0,1,1,,,the international court referred to is probably the new york trial which only clears imelda marcos https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-61,3/31/23 18:39:00,https://twitter.com/RudolphApostol/status/1562295632722685953,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos acquitted all,RudolphApostol,Rudolph “RA” Apostol,"“Not bound to swear allegiance to any master, wherever the wind takes me
 I travel as a visitor. Technology Entrepreneur + Investor X Stockbroker",Troll,12/21,544,172,"Sydney, NSW, Australia",@PangKheeTeik Be careful Pang. Have you heard of Cyber Libel? You can't accuse anyone without evidence. Let the courts decide. All these Marcos wealth are unproven without evidence. New York courts acquitted the Marcoses. All allegations against them were fake news by CIA.,Be careful Pang. Have you heard of Cyber Libel? You can't accuse anyone without evidence. Let the courts decide. All these Marcos wealth are unproven without evidence. New York courts acquitted the Marcoses. All allegations against them were fake news by CIA.,Be careful Pang Have you heard of Cyber Libel You can't accuse anyone without evidence Let the courts decide All these Marcos wealth are unproven without evidence New York courts acquitted the Marcoses All allegations against them were fake news by CIA,0,0,"Text, Reply",24/08/22 04:27,,emotional,0,1,0,0,0,,,The new york trial did not (and cannot) acquit the marcoses from all the allegations against them. https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a,
57-62,3/31/23 18:39:00,https://twitter.com/ioannesesledieu/status/1506543916425912321,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos acquitted all,ioannesesledieu,G ᴀ ʙ ʙ ʏ🌴| 𝐅𝐈𝐋𝐈𝐏𝐈𝐍𝐎 𝐅𝐈𝐑𝐒𝐓,"𝐈𝐌𝐏𝐄𝐑𝐈𝐀𝐋 𝐏𝐇𝐈𝐋𝐈𝐏𝐏𝐈𝐍𝐄𝐒

Naturalist 🌱 • Ultra-Nationalist • Stoic • Marcos Loyalist • Shadowbanned •
              
                
                Manila, Philippines
              
              
                  
                  m.facebook.com/story.php?sto…
                ",Anonymous,09/15,309,224,"Manila, Philippines","@jaicabajar WALANG PAGNANAKAW
 
 The MARCOSES are actually ACQUITTED in all plunder cases in Philippines and ACQUITTED in all fraud and racketeering cases in US.
 
 Kayong mga Dilawan ninakaw niyo yung State revenues sabay sisi kay Marcos nung di na makabayad ng utang.
 https://t.co/5LNKDfkaL9",THERE ARE NO THIEVES. The MARCOSES are actually ACQUITTED in all plunder cases in Philippines and ACQUITTED in all fraud and racketeering cases in US. You Yellows are thieves of State revenues while accusing Marcos when he could not pay his debts.,THERE ARE NO THIEVES The MARCOSES are actually ACQUITTED in all plunder cases in Philippines and ACQUITTED in all fraud and racketeering cases in US You Yellows are thieves of State revenues while accusing Marcos when he could not pay his debts,1,1,"Text, Reply, URL",23/03/22 08:10,,emotional,2,1,1,1,2,,,the sc and the sandiganbayan found the marcos guilty of at least 1 case where either of them is the plaintiff https://verafiles.org/articles/vera-files-fact-check-court-rulings-against-marcoses-belie-c sc specific: https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea,
57-63,3/31/23 18:39:00,https://twitter.com/mchappytoys/status/1501727421774831617,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos acquitted all,mchappytoys,mchappyworld,Welcome to the Official Twitter Account of McHappy World. Mcdonalds around the world videos uploaded @YouTube Channel link below,Media,01/15,51,1416,,@MaamSyj Ang dami niyo nga napakinabangan sa mga paaralan at mga hospitals from the leadership of the late Marcos. 3 decades na hindi man lang nalagpasan from Aquino to Aquino regime tatlong dekada. All the accusations been acquitted with International court. Hanggang ngawa lang pinklawan,You all have already enjoyed educational institutions and hospitals borne from the leadership of the late Marcos. 3 decades have passed with Aquino regime after Aquino regime yet you still can't get over the accusations. All the accusations have been acquitted in the interntional court. the Yellow-Pinks can do nothing but wail in vain.,You all have already enjoyed educational institutions and hospitals borne from the leadership of the late Marcos 3 decades have passed with Aquino regime after Aquino regime yet you still can't get over the accusations All the accusations have been acquitted in the international court the Yellow-Pinks can do nothing but wail in vain,1,1,"Text, Reply",10/03/22 01:11,,emotional,2,0,0,0,0,,,"Not all accusations(allegations) were acquitted, the international court does not possess the power to acquit the marcoses from cases filed in the philippine court. https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a",
57-64,3/31/23 18:39:00,https://twitter.com/Dzhoods/status/1455115425461665794,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos acquitted all,Dzhoods,Judy Kaw,"I stand for what is right, fair and just, no matter what other people would say or think about me for as long as I have not done anything wrong to anybody.",Identified,09/09,116,20,Las Pinas City,@FritzieBayrante @manilabulletin As I remember they were actually acquitted from all the cases the Cory Government filed against them. Those cases were originally filed in New York Trial court because Cory did not allow them to come back. Marcos acquitted New York Trial of the Century search for it.,As I remember they were actually acquitted from all the cases the Cory Government filed against them. Those cases were originally filed in New York Trial court because Cory did not allow them to come back. Marcos acquitted New York Trial of the Century search for it.,As I remember they were actually acquitted from all the cases the Cory Government filed against them Those cases were originally filed in New York Trial court because Cory did not allow them to come back Marcos acquitted New York Trial of the Century search for it,1,0,"Text, Reply",01/11/21 10:12,,emotional,0,1,0,0,0,,,"did not win all 986+ cases https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a

the sc and the sandiganbayan found the marcos guilty of at least 1 case where either of them is the plaintiff https://verafiles.org/articles/vera-files-fact-check-court-rulings-against-marcoses-belie-c sc specific: https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea",
57-65,3/31/23 18:39:00,https://twitter.com/theguru91010011/status/1427782528249720837,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos acquitted all,theguru91010011,The Guru,You are not entitled to your opinion. You are entitled to your informed opinion. No one is entitled to be ignorant. - INTJ T,Anonymous,04/17,699,492,Republic of the Philippines,"@ManongFerdie @CallMeSloane @TV5manila @bongbongmarcos Dahil sa mayaman ang mga Marcos feeling nila ninakaw nila ang yaman.
 Kaya yung inggit at chismis ipinasok nila sa uto-utong mga Filipino walang alam ng katotohanan, Ebidensiya lahat ng kachismisan nila na puro kasinungalingan, all acquitted ang mga kaso laban sa mga Marcos.","they believe that the Marcoses are thieves just because they are rich. Hence they instill envy and hearsay to gullible Filipinos. they know nothing of the truth, They qualify hearsays full of lies as evidence, all the cases against Marcos were acquitted.",they believe that the Marcoses are thieves just because they are rich Hence they instill envy and hearsay to gullible Filipinos they know nothing of the truth They qualify hearsays full of lies as evidence all the cases against Marcos were acquitted,0,0,"Text, Reply",18/08/21 00:00,,emotional,1,0,0,0,0,,,the sc and the sandiganbayan found the marcos guilty of at least 1 case where either of them is the plaintiff https://verafiles.org/articles/vera-files-fact-check-court-rulings-against-marcoses-belie-c sc specific: https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea,
57-66,3/31/23 18:39:00,https://twitter.com/magaliamman/status/1498235782301028354,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos junked all cases,magaliamman,La Diva,,Anonymous,12/21,69,204,"Dasmarinas, Calabarzon","@ROBSPAIN3 Wow! Kahanga-hanga! Your source of facts Guinnes Book of Chismis.
 If your info were true why did Sandiganbayan & Supreme Court junked all criminal cases agst the Marcoses; why after 30+yrs w/ 2 aquino presidents not 1 Marcos is in jail? Bago ka manugod check court decisions muna","Wow! How exemplary! Your source of facts seems to be the guinness Book of Hearsays. If your info were true why did Sandiganbayan & Supreme Court junked all criminal cases against the Marcoses; why after 30+ years with 2 aquino presidents not 1 Marcos is in jail? Before you come out here charging, check the court decisions first.",Wow How exemplary Your source of facts seems to be the guinness Book of Hearsays If your info were true why did Sandiganbayan & Supreme Court junked all criminal cases against the Marcoses; why after 30+ years with 2 Aquino presidents not 1 Marcos is in jail Before you come out here charging check the court decisions first,0,0,"Text, Reply",28/02/22 09:57,,emotional,0,2,0,0,0,,,the sc and the sandiganbayan found the marcos guilty of at least 1 case where either of them is the plaintiff https://verafiles.org/articles/vera-files-fact-check-court-rulings-against-marcoses-belie-c sc specific: https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea,
57-67,3/31/23 18:39:00,https://twitter.com/magaliamman/status/1496080416172052485,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos junked all cases,magaliamman,La Diva,,Anonymous,12/21,69,204,"Dasmarinas, Calabarzon","@BisayangIlokano Been over 30yrs now & it hasn't been proven there is ill-gotten wealth. Sandiganbayan & Supreme Court have junked all cases agst Marcoses. Bakit walang nakulong na Marcos kung totoo alegasyon? Bobo, tanga, gago yan dakdak nang dakdak tungkol sa nakaw na yaman na kathang-isip lng","Been over 30 years now & it hasn't been proven there is ill-gotten wealth. Sandiganbayan & Supreme Court have junked all cases against Marcoses. Why were there no incarcerated Marcoses if the allegations were indeed true? dumb, stupid, jerk. you keep rambling about imagined stolen wealth ",Been over 30 years now & it hasn't been proven there is ill-gotten wealth Sandiganbayan & Supreme Court have junked all cases against Marcoses Why were there no incarcerated Marcoses if the allegations were indeed true dumb stupid jerk you keep rambling about imagined stolen wealth,0,0,"Text, Reply",22/02/22 11:12,,emotional,5,0,2,0,2,,,the sc and the sandiganbayan found the marcos guilty of at least 1 case where either of them is the plaintiff https://verafiles.org/articles/vera-files-fact-check-court-rulings-against-marcoses-belie-c sc specific: https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea,
57-68,3/31/23 18:39:00,https://twitter.com/dilin818/status/1524254528454811648,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos all trial,dilin818,Dilin818,Chill,Anonymous,05/22,1,0,,"@richard_mercz Man all i hear are bunch of cry babys, marcos this marcos that….. nonsenses. They went to 100 trial for supposedly stolen money but yet none where proven, dictator and yet yhe filipinos where free. People do stupid thing get stupid price.","Man all i hear are bunch of cry babys, marcos this marcos that….. nonsenses. They went to 100 trial for supposedly stolen money but yet none where proven, dictator and yet yhe filipinos where free. People do stupid thing get stupid price.",Man all i hear are bunch of cry babys marcos this marcos that… nonsense They went to 100 trial for supposedly stolen money but yet none where proven dictator and yet the Filipinos where free People do stupid thing get stupid price,0,0,"Text, Reply",11/05/22 05:06,,emotional,0,0,0,0,0,,,the sc and the sandiganbayan found the marcos guilty of at least 1 case where either of them is the plaintiff https://verafiles.org/articles/vera-files-fact-check-court-rulings-against-marcoses-belie-c sc specific: https://verafiles.org/articles/vera-files-fact-check-not-all-cases-vs-marcos-ill-gotten-wea,
57-69,3/31/23 18:39:00,https://twitter.com/thecuriousvina/status/1516758635417808900,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos all trial,thecuriousvina,V,😵‍💫,Anonymous,01/22,85,90,Republic of the Philippines,@aidatuto200 ay tanga hindi alam na cleared ang marcos sa trial of the century which basically covered all their cases 😭😭😭😭😭 ipagpatuloy mo yan 👋🏻🤡,What a fool. You don't know that the Marcoses were cleared in the trial of the century which basically covered all their cases keep it up ,What a fool You don't know that the Marcoses were cleared in the trial of the century which basically covered all their cases keep it up,0,0,"Text, Image, Reply",20/04/22 12:40,,emotional,0,1,0,0,0,,,"The family lost some notable rulings from the sandiganbayan and supreme court , Marcos Sr. would also have been deemed guilty if alive, further, the ew york trial cannot clear all the cases of the marcoses especially those filed locally https://verafiles.org/articles/vera-files-fact-check-video-resurrects-false-claims-marcos-c",
57-70,3/31/23 18:41:00,https://twitter.com/amylauderdake/status/1296915962164215808,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos all cases,amylauderdake,amylauderdake,,Anonymous,08/20,18,13,,@VicoSotto @PinoyAkoBlog Kung May ninakaw ang mga Marcos patunayan nyo ! The court here and abroad says NOT GUILTY TO ALL OF THOSE CASES ! Aquino ang tunay na magnanakaw ‼️,"If the Marcos stole something, prove it! The court here and abroad says NOT GUILTY TO ALL OF THOSE CASES! Aquino is the real thief!!",If the Marcos stole something prove it The court here and abroad says NOT GUILTY TO ALL OF THOSE CASES Aquino is the real thief,1,1,"Text, Reply",21/08/20 21:03,,emotional,0,0,0,0,0,,,"According to VERA Files, the Marcos family did not win all cases filed against them.

[https://verafiles.org/articles/vera-files-fact-check-marcoses-did-not-win-all-cases-filed-a#:~:text=Mrs.%20Marcos%20won%20in%20the%201990%20New%20York,it%20in%20the%20United%20States%2C%20international%20media%20reported]",
57-71,3/31/23 18:43:00,https://twitter.com/angeliloulou/status/1480260292437176326,57,"Amador, Joshua",MRCS,The Marcos family won all cases filed against them,marcos lahat cases,angeliloulou,Anj ❤️💚,"199x I 🏖️🍒

❤️💚",Anonymous,10/21,598,686,Republic of the Philippines,"@Ian12Am @iMthinkingPinoy Kaya pala ang lahat na 900+ cases ng mga marcos ay basura at binasura rin ng International court, ikaw ba naman mag file n galing sa newspaper e. 😁
Tapos sasabin niyo magnanakaw eh bakit ang pina DQ niyo kay BBM ay 7000pesos lang hindi ang BILLION na sinsbi niyo kung nagnakaw 😂","That's why all the 900+ cases of Marcos are junk and were also junked by the International court, that’s what happens when you file something from the newspaper
Then you'll say they’re a thief, why did you DQ BBM for only 7000 pesos, not the BILLION you said they stole","That's why all the 900+ cases of Marcos are junk and were also junked by the International court that’s what happens when you file something from the newspaper
Then you'll say they’re a thief why did you disqualify BBM for only 7000 pesos not the BILLION you said they stole",0,0,"Text, Reply",09/01/22 19:28,,emotional,0,1,0,0,0,,,"It was proven that the statement that Marcos won over 900+ cases wasn't true.

[https://verafiles.org/articles/vera-files-fact-check-video-resurrects-false-claims-marcos-c]",
